$ mvm ls --all
                                                   microVMs                                                   
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━┓
┃ microvm id                            ┃ state      ┃ image                 ┃ version ┃ started             ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━┩
│ microvm-bd277d6f-b321-3c03-a584-298c… │ RUNNING    │ demo-agent            │ 1.0     │ 2026-09-20 18:55:48 │
│ microvm-00c2aac3-94fb-3d1d-ae10-0b14… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:06:56 │
│ microvm-00c326e0-11a5-388e-8ecf-0614… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:28:19 │
│ microvm-01a77df6-23ee-38e7-bc2a-d6ef… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:32:07 │
│ microvm-029a875d-ab0f-3249-85ef-b7df… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:20:28 │
│ microvm-03162eae-2911-3586-bd10-c091… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:42:18 │
│ microvm-038246e3-a6a3-3f06-b7ef-606c… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:25:07 │
│ microvm-03f7bf95-d47a-35d5-8bfe-7c94… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 17:49:35 │
│ microvm-04fe15bb-4ff5-376a-a125-c3ba… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 17:59:18 │
│ microvm-0515d285-16bc-3fdc-8986-a8ad… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:20:57 │
│ microvm-0731c32e-8c18-3e0d-b1c7-7a36… │ TERMINATED │ handoff-agent         │ 4.0     │ 2026-09-20 14:36:37 │
│ microvm-074542ca-918e-3f03-b8eb-1b5c… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:11:02 │
│ microvm-07ad8331-d003-30a3-9452-d898… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:38:38 │
│ microvm-08481ac5-6695-3c37-a77a-3845… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:07:01 │
│ microvm-0be00238-a9a1-3f8f-ade7-3b48… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:18 │
│ microvm-0c871e1e-e9d8-3a01-a196-fde3… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:04:00 │
│ microvm-0d062ab0-d038-33a5-8dd7-38f1… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:37:49 │
│ microvm-0d15a5ba-9c87-39a4-9630-d23b… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:55:38 │
│ microvm-0d7eaf33-3186-3779-8280-0f7b… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:28:57 │
│ microvm-0e58cb8b-3256-3bcb-87b5-230a… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:55:38 │
│ microvm-0fda764a-6cfa-3a90-836c-0657… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:25 │
│ microvm-10d7b0d9-5e7b-3c72-b24e-2917… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:20:42 │
│ microvm-110fe158-bd61-3e32-ab4c-67e9… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:20:28 │
│ microvm-11f117d4-e93d-380f-ab71-eaa8… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:43 │
│ microvm-13673ed9-41e9-3deb-9595-5fa0… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:03:15 │
│ microvm-149ff00b-1956-332f-ae26-8249… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:37:49 │
│ microvm-14b16e5d-e6d5-38a8-b9e3-f8fe… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:20:47 │
│ microvm-14f4247d-198c-38da-b543-00f9… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:56:53 │
│ microvm-172459ce-3f47-30e3-9db2-f254… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:03:15 │
│ microvm-17ce3b22-8cac-3510-a385-2307… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:28 │
│ microvm-17dee4f4-37f6-3992-b737-4c34… │ TERMINATED │ handoff-agent         │ 4.0     │ 2026-09-20 14:20:23 │
│ microvm-1883ecf9-1642-3dfc-97ea-49eb… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:32 │
│ microvm-192e97e7-39eb-36f1-b8cd-5c91… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:30:13 │
│ microvm-193879b7-a16b-3934-b79f-f3e1… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:39:31 │
│ microvm-199a0fab-3c5b-3d23-8c47-6f74… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 17:58:13 │
│ microvm-19d0fccc-dd7d-3961-b73e-fc44… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 17:59:03 │
│ microvm-1aaef07d-72a8-3f1f-8b84-4598… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:06:21 │
│ microvm-1c13e686-8767-3a09-8692-4f67… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:28:52 │
│ microvm-1c76f9b9-6d49-3270-9187-46a0… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:30:06 │
│ microvm-1da50226-37f9-3ad7-bd3f-f033… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:20:02 │
│ microvm-1f1f02c4-8c48-3012-bd19-7bf5… │ TERMINATED │ handoff-agent         │ 1.0     │ 2026-09-20 12:13:46 │
│ microvm-209621d3-4afd-304f-972f-6ff9… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:28:53 │
│ microvm-20f36949-de0f-388c-89c4-f7f8… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:11:32 │
│ microvm-213010d9-2b96-3e63-8592-edbf… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:40:11 │
│ microvm-21322e60-d9cd-35b7-a449-1a22… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:42:17 │
│ microvm-217113b7-f3e8-30a4-83f7-4133… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:03:38 │
│ microvm-23247fe4-cd25-3552-8305-5999… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:40:14 │
│ microvm-232ad617-aa6b-36b8-9c6a-4c8b… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:02:59 │
│ microvm-24634450-55e2-307e-8479-50cd… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:03:58 │
│ microvm-24ba38f1-4025-34c9-9ba2-c27f… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:30:10 │
│ microvm-2596ead5-2479-31d8-a849-c6c8… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:28:16 │
│ microvm-269eba0d-c2c6-332d-814c-56ff… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:55:25 │
│ microvm-272a0445-70ed-3118-9d8f-64b2… │ TERMINATED │ handoff-agent         │ 4.0     │ 2026-09-20 18:31:29 │
│ microvm-27cdcdab-4620-37af-aebf-6b11… │ TERMINATED │ handoff-agent         │ 4.0     │ 2026-09-20 14:41:03 │
│ microvm-27e95a30-790f-3ec1-a0e2-925b… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:41:55 │
│ microvm-2867b026-5be9-3e4e-a4b8-187d… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:25 │
│ microvm-28c232a0-b4e7-3667-9d51-2604… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:03:37 │
│ microvm-295ee838-8d45-30a9-ab55-0473… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:26:44 │
│ microvm-2967fa7a-768c-349b-bf53-fc5b… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:06:59 │
│ microvm-2b9d719a-6f5e-379a-a86d-db00… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:21:08 │
│ microvm-2be69cce-ece9-31c2-bc47-669b… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:48 │
│ microvm-2c2d5eb0-77fe-397b-89d3-c7e2… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:56:18 │
│ microvm-2c465edf-c378-32ea-b078-61f7… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:38:38 │
